epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
78,171.439,0.99304,0.588,1.50795,0.97946,0.98113,0.99392,0.70932,1.14246,0.52205,1.60044,0.0004754,0.0004754,0.0004754
79,173.63,1.0087,0.59153,1.5286,0.99887,1,0.995,0.61947,1.36522,0.49668,1.82588,0.0004556,0.0004556,0.0004556
80,175.787,0.99206,0.59279,1.51898,0.99786,1,0.995,0.66797,1.21222,0.47747,1.65856,0.0004358,0.0004358,0.0004358
81,177.935,0.98681,0.5617,1.51614,0.99814,1,0.995,0.71995,1.01391,0.43011,1.48872,0.000416,0.000416,0.000416
82,180.2,0.99385,0.57469,1.51548,1,0.99773,0.995,0.73647,0.96022,0.42405,1.44815,0.0003962,0.0003962,0.0003962
83,182.41,0.99597,0.57439,1.50594,0.99758,1,0.995,0.66074,1.22515,0.47799,1.68279,0.0003764,0.0003764,0.0003764
84,184.595,0.99263,0.57278,1.51026,0.99614,1,0.995,0.66371,1.25592,0.48434,1.69808,0.0003566,0.0003566,0.0003566
85,186.801,0.97304,0.57969,1.50063,0.9977,1,0.995,0.70497,1.06524,0.43394,1.52521,0.0003368,0.0003368,0.0003368
86,188.997,0.96105,0.56299,1.48498,0.99835,1,0.995,0.70425,1.06234,0.44106,1.53711,0.000317,0.000317,0.000317
87,191.162,0.95374,0.56504,1.49511,0.99874,1,0.995,0.71042,1.14578,0.46008,1.61755,0.0002972,0.0002972,0.0002972
88,193.328,0.97117,0.55253,1.49265,0.99867,1,0.995,0.71352,1.12878,0.48616,1.59537,0.0002774,0.0002774,0.0002774
89,195.472,0.96385,0.56812,1.50073,0.99732,1,0.995,0.65226,1.23132,0.49096,1.73663,0.0002576,0.0002576,0.0002576
90,197.634,0.93152,0.53777,1.46642,0.99721,1,0.995,0.70006,1.07239,0.42597,1.53834,0.0002378,0.0002378,0.0002378
91,200.29,0.83178,0.40809,1.37455,0.99722,1,0.995,0.73127,1.06572,0.43562,1.50904,0.000218,0.000218,0.000218
92,202.411,0.80946,0.38937,1.35432,0.99766,1,0.995,0.73243,1.06851,0.43263,1.5451,0.0001982,0.0001982,0.0001982
93,204.566,0.80215,0.38109,1.3453,0.99743,1,0.995,0.71638,1.07332,0.43386,1.53734,0.0001784,0.0001784,0.0001784
94,206.689,0.79194,0.37462,1.34625,0.99775,1,0.995,0.74751,1.01331,0.42224,1.49187,0.0001586,0.0001586,0.0001586
95,208.828,0.78332,0.37522,1.33506,0.99656,1,0.995,0.70634,1.07796,0.43876,1.55169,0.0001388,0.0001388,0.0001388
96,210.958,0.78379,0.38046,1.33423,0.99762,1,0.995,0.69826,1.13364,0.43856,1.60772,0.000119,0.000119,0.000119
97,213.088,0.77411,0.37049,1.32411,0.99812,1,0.995,0.70933,1.11775,0.44069,1.588,9.92e-05,9.92e-05,9.92e-05
98,215.189,0.77652,0.37011,1.33287,0.99633,1,0.995,0.68399,1.19594,0.46333,1.68567,7.94e-05,7.94e-05,7.94e-05
99,217.296,0.75905,0.36829,1.31688,0.99716,1,0.995,0.7196,1.07065,0.44318,1.55013,5.96e-05,5.96e-05,5.96e-05
100,219.528,0.73528,0.36134,1.30214,0.99638,1,0.995,0.71143,1.0964,0.4469,1.58263,3.98e-05,3.98e-05,3.98e-05
